Date,All,O+,O-,B+,B-,A+,A-,AB+,AB-
4/9/2018,50,14,0,18,0,13,0,5,0
4/10/2018,77,20,0,25,0,24,0,8,0
4/11/2018,42,16,0,11,0,10,0,5,0
04/12/18,44,9,0,17,0,13,0,5,0
04/13/18,49,12,0,18,0,16,0,3,0
04/14/18,33,9,0,8,0,10,0,6,0
04/15/18,77,17,0,29,0,19,0,12,0
04/16/18,65,18,0,18,0,18,0,11,0
04/17/18,67,19,0,23,0,18,0,7,0
04/18/18,58,13,0,20,0,19,0,6,0
04/19/18,34,10,0,13,0,2,1,8,0
04/20/18,46,10,0,11,0,16,0,9,0
04/21/18,41,13,0,15,0,10,0,3,0
04/22/18,74,20,0,20,0,26,0,8,0
04/23/18,42,16,0,9,0,13,0,4,0
04/24/18,41,11,0,11,0,12,0,7,0
04/25/18,73,16,0,24,0,21,0,12,0
04/26/18,35,8,0,7,1,14,0,5,0
04/27/18,66,20,0,16,0,19,0,11,0
04/28/18,39,11,0,11,0,8,0,9,0
04/29/18,67,20,0,14,0,23,1,9,0
04/30/18,50,10,0,17,0,15,0,8,0
5/1/2018,36,10,0,14,0,9,0,3,0
5/2/2018,69,16,0,21,0,22,0,10,0
5/3/2018,62,24,0,15,0,22,0,1,0
5/4/2018,62,19,0,17,0,15,0,11,0
5/5/2018,77,24,0,22,0,22,1,8,0
5/6/2018,44,13,0,16,0,9,0,6,0
5/7/2018,47,12,0,15,0,12,0,8,0
5/8/2018,41,9,0,14,0,11,0,7,0
5/9/2018,61,21,0,16,0,15,0,9,0
5/10/2018,39,9,0,16,0,12,0,2,0
5/11/2018,62,24,0,14,0,20,0,4,0
5/12/2018,79,23,0,23,0,21,0,12,0
05/13/18,54,14,0,14,0,20,0,6,0
05/14/18,31,8,0,11,0,7,0,4,1
05/15/18,30,7,0,10,0,10,0,3,0
05/16/18,80,14,0,26,0,30,0,10,0
05/17/18,39,12,0,13,0,11,0,2,1
05/18/18,69,18,0,22,0,18,0,11,0
05/19/18,59,9,0,20,0,24,0,6,0
05/20/18,46,17,0,15,0,11,0,3,0
05/21/18,62,19,0,16,0,23,0,4,0
05/22/18,70,26,0,21,0,16,0,7,0
05/23/18,64,19,0,16,0,18,0,11,0
05/24/18,78,30,0,13,0,27,0,8,0
05/25/18,57,17,0,21,0,13,1,5,0
05/26/18,30,10,0,12,0,7,0,1,0
05/27/18,32,8,0,14,0,9,0,1,0
05/28/18,45,16,0,9,0,19,0,1,0
05/29/18,42,12,0,7,0,16,0,7,0
05/30/18,44,9,0,10,0,20,0,5,0
5/31/2018,40,13,0,11,0,12,0,4,0
6/1/2018,47,18,0,15,0,10,0,4,0
6/2/2018,34,8,0,10,0,8,0,8,0
6/3/2018,46,12,0,19,0,11,0,4,0
6/4/2018,55,13,0,14,0,22,0,6,0
6/5/2018,54,19,1,16,0,14,0,4,0
6/6/2018,60,15,1,15,0,23,0,6,0
6/7/2018,73,24,0,19,0,24,0,6,0
6/8/2018,39,6,0,13,0,12,0,8,0
6/9/2018,42,12,0,15,0,10,0,5,0
6/10/2018,33,8,0,9,0,10,0,6,0
6/11/2018,71,18,0,19,0,23,1,10,0
06/12/18,43,9,0,17,0,11,0,6,0
06/13/18,34,15,0,12,0,4,0,3,0
06/14/18,76,20,0,27,0,24,0,5,0
06/15/18,68,19,0,17,0,20,0,12,0
06/16/18,34,17,0,8,0,5,0,4,0
06/17/18,62,11,1,17,0,24,0,9,0
06/18/18,31,7,0,12,0,11,0,1,0
06/19/18,61,9,1,23,0,20,0,8,0
06/20/18,78,29,0,20,0,19,0,10,0
06/21/18,61,15,0,27,0,15,0,4,0
06/22/18,75,23,0,21,0,21,0,10,0
06/23/18,61,12,0,16,0,27,0,6,0
06/24/18,36,5,0,9,0,17,0,5,0
06/25/18,55,13,0,21,0,17,0,4,0
06/26/18,62,16,0,16,0,24,0,6,0
06/27/18,63,16,0,23,0,18,0,6,0
06/28/18,42,11,0,11,0,16,0,4,0
06/29/18,49,13,0,16,0,12,0,8,0
06/30/18,74,19,0,21,0,22,1,11,0
7/1/2018,54,11,0,20,0,17,0,6,0
7/2/2018,42,10,0,16,0,10,0,6,0
7/3/2018,56,14,0,21,0,19,0,2,0
7/4/2018,43,14,0,18,0,8,0,3,0
7/5/2018,68,24,0,16,0,21,0,7,0
7/6/2018,57,18,0,19,0,13,0,6,1
7/7/2018,76,21,0,23,0,20,0,12,0
7/8/2018,35,11,0,11,0,9,0,4,0
7/9/2018,66,16,0,17,0,30,0,3,0
7/10/2018,61,11,0,22,0,23,0,5,0
7/11/2018,64,15,0,22,0,19,0,8,0
7/12/2018,62,15,0,18,0,20,0,9,0
07/13/18,53,11,0,11,0,20,0,11,0
07/14/18,69,19,0,19,0,21,0,10,0
07/15/18,31,8,0,9,0,11,0,3,0
07/16/18,40,15,0,11,0,10,0,4,0
07/17/18,49,11,0,17,1,16,0,4,0
07/18/18,63,19,0,20,0,18,0,6,0
07/19/18,68,14,0,27,0,20,0,7,0
07/20/18,56,14,0,20,0,15,0,7,0
07/21/18,32,11,0,7,0,10,0,4,0
07/22/18,77,16,0,23,0,26,0,12,0
07/23/18,53,16,0,16,0,15,0,6,0
